"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99996,1.5e-05,0,3.2953e-20,0,0,1.7157e-22,1.7157e-22,1,135,1,0.90333,0.0005,0.90333,0.0005
0.99996,1.5e-05,0,3.2969e-20,0,0,1.727e-22,1.727e-22,1,136,1,0.91,0.0005,0.91,0.0005
0.99996,1.5e-05,0,3.2986e-20,0,0,1.7376e-22,1.7376e-22,1,137,1,0.91667,0.0005,0.91667,0.0005
0.99997,1.5e-05,0,3.3002e-20,0,0,1.7474e-22,1.7474e-22,1,138,1,0.92333,0.0005,0.92333,0.0005
0.99997,1.5e-05,0,3.3019e-20,0,0,1.7565e-22,1.7565e-22,1,139,1,0.93,0.0005,0.93,0.0005
0.99997,1.5e-05,0,3.3037e-20,0,0,1.7649e-22,1.7649e-22,1,140,1,0.93667,0.0005,0.93667,0.0005
0.99998,1.5e-05,0,3.3057e-20,0,0,1.7725e-22,1.7725e-22,1,141,1,0.94333,0.0005,0.94333,0.0005
0.99998,1.5e-05,0,3.3079e-20,0,0,1.7792e-22,1.7792e-22,1,142,1,0.95,0.0005,0.95,0.0005
0.99998,1.5e-05,0,3.3085e-20,0,0,1.7841e-22,1.7841e-22,1,143,1,0.95667,0.0005,0.95667,0.0005
0.99998,1.5e-05,0,3.3032e-20,0,0,1.7872e-22,1.7872e-22,1,144,1,0.96333,0.0005,0.96333,0.0005
0.99999,1.5e-05,0,3.2986e-20,0,0,1.7958e-22,1.7958e-22,1,145,1,0.97,0.0005,0.97,0.0005
0.99999,1.5e-05,0,3.3504e-20,0,0,1.8292e-22,1.8292e-22,1,146,1,0.97667,0.0005,0.97667,0.0005
0.99999,1.5e-05,0,3.5384e-20,0,0,1.8684e-22,1.8684e-22,1,147,1,0.98333,0.0005,0.98333,0.0005
1,1.5e-05,0,3.5618e-20,0,0,1.6845e-22,1.6845e-22,1,148,1,0.99,0.0005,0.99,0.0005
1,1.5e-05,0,0,0,0,0,0,1,149,1,1,0.0005,1,0.0005
